file	size_bytes	sha256	category
.gitattributes	158	0338f8a3d1b39e000c1b540672f9392ac9b91ed7b449e173d72de6a59eaf27e6	project_file
.gitignore	75	b7d3eecdd8007e7f90f993b5d6598e76a6baabe971e320ce557dc81a4f40beee	project_file
.zenodo.json	1715	dd4ef1dc09ffc6b21d9a6a24b0575283aa93969c2be79bec583be0b258e3b9e7	documentation
2background_genes_3utr.fasta	11780777	2f73e8935a49a830dff9e5d4dbc9b5416e08eaab3e6ce9864176d34c938c6407	data_or_reference
2foreground_genes_overlapping_3utr.fasta	469043	725e4e82776f60505ee80950ea1ba8158589bd7e3344d42ef4248f7171d950c6	data_or_reference
CITATION.cff	704	983e8d1bacad2e886e86fa464d07b35d3297810a089896cd6a9607488801dd0d	documentation
DEG_list_8330_30102024.rds	7853313	c2393df2c8831bd03fa8e048af3025b4ffdcd638cd0bb841a6105684d05d5ee5	data_or_reference
DEG_list_MGH_30102024.rds	7625927	922bb5bb2559fde3ddc10b65aa614f06d1339c05d70a27ad0f6498bae9379278	data_or_reference
DEG_summary_and_All_Counts.xlsx	29414300	b2214b3aed76967354a07ca42fb9d427c201af0ae50a159abf932c897f76dad0	data_or_reference
DEU_summary_and_All_Abundance.xlsx	7716992	710f968ca88387d1d70a98c310d875d1e84aef5eac4f4c6dbd4868e902a018cd	data_or_reference
FINAL_BG_MAGEL2_multiOmics_plotting.Rmd	347400	f3656e096110beaf7a73011bc32b2ccc717516797dd5bbf9ac5755b0ee1759aa	code
FINAL_MAGEL2_RNAseq.Rmd	9037	9a89f3ccae1ff7d95668fc61d92dfb3d1b676e5ba03d2ba50eb80a37ffbf3037	code
FINAL_MAGEL2_interactome.Rmd	15973	6e229db0708ccffd637dc20152b5b993b6459b91af7e0aae56498f44c509a497	code
FINAL_MOFA_Jannis.Rmd	44166	11adea5df77bb7a11878da19eda803ff9b2913776d67db5f777fcb0af48a7045	code
FINAL_PCA_Plots.Rmd	27163	1f12a0872b9d6eca5d2a39f106d20080fc222988880c51f1c107485a8c319bf9	code
FINAL_proteomics_preprocessing.Rmd	9310	1ce4ae8ecb698388a69fe8b6de45358b7e4f5e08976618048d3d94a3c11204d7	code
FINAL_transcriptomics_vs_proteomics.Rmd	117322	b13b740f819a118a2c2dc12cdecd82a5ae17e7b0c6650cc05d6bc37c7c227b7b	code
FINAL_ubiprot.Rmd	15798	5fb37ed65782c9b6a543cc9cbf6e8f14c960617f0c691a6cc915f5bbbb8086da	code
FINAL_ubiquitinomics_preprocessing.Rmd	36859	6d68cc5abda6940e2cd20ae85de050d975ae027eaaf7682e760886f64dffe679	code
Final_Full_Proteome_Azmal.xlsx	5046594	45b40ef55d4588234d2900e5d0692663c1c09feb435acafbd65a040e78c8c454	data_or_reference
HPO_Enrichment_Results.xlsx	39410	6bb45225df12af6fe785e325e4dd9bf7d7e8b890977d3fec6e14ba21018df456	data_or_reference
LICENSE	1110	a12b896e894f576cd2f0ba53cdc9b1350f5c626f8d5ea838077492afb7defdaf	documentation
LICENSE-DATA.md	617	637f24a81f13ec6c28b54135c3028d1c231cea004fa3ebc3e56ea810ab7884e7	documentation
MAGEL2_interactionPartners_2025.xlsx	53685	abcbd06491323ae7c5824bd2a32b585d4dc824f512282e7debec8ac65c49eef4	data_or_reference
MAGEL2_interactionPartners_cleaned.xlsx	39388	33ace8629b05b4b99f19f99a2f17737ff547d0db7b67d13f6b32b46b0cd4fe0b	data_or_reference
MAGEL2_interactors_input.xlsx	14502	d73a01e2b70b2165677be7e6397eb5cc6883986b8c6576bc738fdb6f0e9e1a4b	data_or_reference
MOFA_PRU3.rds	6754061	79103b0a1809fe2a70bcac0f8789a2ac65cc08591b691a97bd54f02adbfd9b1d	data_or_reference
Network_Analysis_Summary.xlsx	18655	9c6ebb4b3f1a3093866953b64e57a2d63a3e36688141e8a215b5a9beef812c89	data_or_reference
README.md	4662	84800b5fcf0124e54923db2f55669ed41cca5031223ef60d26ff51005b5775a3	documentation
SFARI-Gene_genes_04-03-2025release_07-03-2025export.csv	115848	2cc6105b402aef608ebf4b7e508cc31a1816f52015b006eb1c88724b029348e8	data_or_reference
Supplementary_Table_Core_Proteome_Discordance.xlsx	17032	504d2c3a5deb527efacdec71c822bd4dac1980c0a19aabf7f330c872f99a58b0	data_or_reference
Supplementary_Table_Protein_RNA_Ratios_Averaged.xlsx	6013286	74cdda019f1b6950a24fbb6a7d901daf261253bb7d539ec1c5becc7db2282ef3	data_or_reference
Supplementary_Table_Ubi_Prot_Ratios.xlsx	2948100	32485068f14e019a1c8ea0d07530b4106ed65e255316a47cb55a6de357398d24	data_or_reference
TF_Enrichment_Results.xlsx	3555160	cb0aad004ee02301865e5970bc8ce64606652891972ff67cf913eb5a4eadc898	data_or_reference
TF_Upset_Intersections_RNA_Named.xlsx	19702	2f95c4dcfdc9b75f3475bf93d09cca3181eaf420de90e28e80cb318ebcb0e33d	data_or_reference
Table_HS_RBP.txt	83521416	d6aea48ebb1f16dac14a592984190968df9a8fe23e52a50ea0ad1ffc5398de1c	data_or_reference
UbiEAs_sample_info.rds	586	22e08044bca1970b60c03463397cb8ad0f567a2ded10f69da84c68973c7ec0c0	data_or_reference
Ubi_Ubi_data_imp_8330_BH_new.rds	858682	7be8592ec4de4406f2d10aa06d9dae51748aa633ddbfaa2ee1472016676682b8	data_or_reference
Ubi_Ubi_data_imp_MGH_BH_new.rds	1017044	daf73fb7b4c623ce1a462595fe80c7bbb8e166ed510cd09b919f7eb359e5a44c	data_or_reference
Ubi_Ubi_dep_8330_BH_new.rds	4156057	3b64aca894c28a2d3e5d5598eef7d43831f2b8f6a3039fb899c5f863d89b81bf	data_or_reference
Ubi_Ubi_dep_MGH_BH_new.rds	5919899	74354c63a4515e9ed9b97cb59c6e0ed548eca2c666078d49d506d3fc97115e78	data_or_reference
Ubi_data_imp_8330_BH_new.rds	858536	45d5d41015a15358ddf1ce6c5f97de39440f295468c737b907f01d2930e03f29	data_or_reference
Ubi_data_imp_MGH_BH_new.rds	1017109	c579b291817d17e5608db1451881a6e9c228edda5b2f08bcec5bc1e65df47d29	data_or_reference
Ubi_dep_8330_BH_new.rds	4155143	97aea1a19d7c27c3c3da7eed919790af808fdbade6fad0f66c8aa5acf7d7d59e	data_or_reference
Ubi_dep_MGH_BH_new.rds	5919574	1969e1182c616b0753883da658392156bcafa9d849a17cb894babaaf1d25d889	data_or_reference
Ubi_deu_8330_BH_new.rds	4168781	67c95f7fac03722116a4bad5cef9aba4325bc33cb6d561c36c656f970826f84b	data_or_reference
Ubi_deu_MGH_BH_new.rds	5933364	990ec44dad30f034093a79df16d4385a9f1f77fa358a66af40370470d09b3fec	data_or_reference
Ubiquitination_IP_Azmal.xlsx	2870820	df9dfe6ba3b958f2d27a5a74c62d7dc4710aa945ec0cf588be38e0ae5fb8e6d0	data_or_reference
background_genes_3utr.fasta	11780777	2f73e8935a49a830dff9e5d4dbc9b5416e08eaab3e6ce9864176d34c938c6407	data_or_reference
count_matrix_RNAseq_MAGEL2_project.rds	4301605	72f35ac9eb74940b1bae9d54172ded336c5ebbb8f39872f4b1312d72802963fa	data_or_reference
data_imp_8330_BH_new.rds	1749485	9b915f7d0ed861ffd4b2dbdf2bddb6c21e32f5020681b35dd489dedde2897fb9	data_or_reference
data_imp_MGH_BH_new.rds	1745997	8da049187fc06de5ddc85cfd6bfdab027b1cb0c6bc3fcbe758f85b5b5ce4bd0d	data_or_reference
dds_RNA_30102024.rds	35297318	8927ddfbfc97d6c5add582644db07feb824b74f94c570b2c4a767462e62090cb	data_or_reference
dep_8330_BH_new.rds	10339490	49f911490073a669eade18caa98aba549f0436f6550ca040ec58624393e2bf6d	data_or_reference
dep_MGH_BH_new.rds	10328432	a22dc657c6a64c1d047b2f91e912aa471450774b10b2ab706eb1bb4caa992227	data_or_reference
docs/code_availability_statement.md	912	47603923c28f3e44ec6227b18e86e09d783b946d83aa5ea4a0bdba7a62355511	documentation
docs/repository_notes.md	1296	8df45e42fcdc5a0d348a0a0a0c217c356529525a6d58be9385a1a3f440462869	documentation
docs/reproducibility_checklist.md	1672	18ac039c008195636b44588957130cea1677840225f0e58badcc11970718cb84	documentation
foreground_genes_overlapping_3utr.fasta	360146	f121533d80c2b562cd31495cd0900299a28860452c774f14872f9595b229b648	data_or_reference
genelist_for_enrichment.xlsx	49346	1692a63253145bbb89033d8adadc2a932a974b83e2a2a7317b0e71b96761ba39	data_or_reference
leaky_expression_qPCR.xlsx	9723	e26a5c88f4abddd675d4881310383e6f308ab191f60b48e6d459deb5a3afd8fa	data_or_reference
new_data_imp_8330_BH_new.rds	1749427	6fd7750c6d69a33956f454f0e49aaa430ebe570c998113d208e527ea3ed0b160	data_or_reference
new_data_imp_MGH_BH_new.rds	1745943	fd027f24803c4d7cd8e61684837d2eee159e18b002a3f0f287a7aa7531af71d4	data_or_reference
proteomics_sample_info.rds	610	9cf8bba3e734b98f0f1fe62438bb0b0d15f08664e01671024182ed1b85bd84a6	data_or_reference
renv.lock	824870	4ce4d9fe9753d14596f823ab0ea51afc9f124e7f8279d876a2e03b5727a66ece	documentation
session_info/detected_package_versions.tsv	1454	794eeebbe77255c610389499e115cf99ebf268b9f3f98a7f5683ca5a83b27f9e	data_or_reference
session_info/sessionInfo.txt	708	1ea796f061f6c3c981f07f698fcb1f92156fbc68bd05050fe6f812fa7a1154af	data_or_reference
