package	installed	version
annotate	TRUE	1.86.1
AnnotationDbi	TRUE	1.70.0
AnnotationHub	TRUE	3.16.1
biomaRt	TRUE	2.64.0
Biostrings	TRUE	2.76.0
BSgenome.Hsapiens.UCSC.hg38	TRUE	1.4.5
cluster	TRUE	2.1.8.1
clusterProfiler	TRUE	4.16.0
ComplexHeatmap	TRUE	2.24.1
ComplexUpset	TRUE	1.3.3
corrplot	TRUE	0.95
data.table	TRUE	1.17.8
DBI	TRUE	1.2.3
DEP2	TRUE	0.5.28.2
DESeq2	TRUE	1.48.2
dplyr	TRUE	1.1.4
EnhancedVolcano	TRUE	1.26.0
ensembldb	TRUE	2.32.0
eulerr	TRUE	7.0.2
fields	TRUE	17.1
forcats	TRUE	1.0.0
GenomicRanges	TRUE	1.60.0
ggExtra	TRUE	0.11.0
ggplot2	TRUE	4.0.0
ggpubr	TRUE	0.6.1
ggrepel	TRUE	0.9.6
ggridges	TRUE	0.5.7
GO.db	TRUE	3.21.0
GOSemSim	TRUE	2.34.0
gprofiler2	TRUE	0.2.3
grid	TRUE	4.5.1
gridExtra	TRUE	2.3
Homo.sapiens	TRUE	1.3.1
igraph	TRUE	2.1.4
knitr	TRUE	1.50
limma	TRUE	3.64.3
Matrix	TRUE	1.7-4
MOFA2	TRUE	1.18.0
MOFAdata	TRUE	1.24.0
MotifDb	TRUE	1.50.0
motifmatchr	TRUE	1.30.0
msigdbr	TRUE	25.1.1
openxlsx	TRUE	4.2.8
org.Hs.eg.db	TRUE	3.21.0
patchwork	TRUE	1.3.2
PCAtools	TRUE	2.20.0
pheatmap	TRUE	1.0.13
purrr	TRUE	1.1.0
RColorBrewer	TRUE	1.1-3
readr	TRUE	2.1.5
readxl	TRUE	1.4.5
RNAseqQC	TRUE	0.2.1
simplifyEnrichment	TRUE	2.2.0
STRINGdb	TRUE	2.20.0
stringr	TRUE	1.5.2
SummarizedExperiment	TRUE	1.38.1
targetscan.Hs.eg.db	TRUE	0.6.2
TFBSTools	TRUE	1.46.0
tibble	TRUE	3.3.0
tidyr	TRUE	1.3.1
tidyverse	TRUE	2.0.0
TxDb.Hsapiens.UCSC.hg38.knownGene	TRUE	3.21.0
tximeta	TRUE	1.26.2
UpSetR	TRUE	1.4.0
VennDiagram	TRUE	1.7.3
viridis	TRUE	0.6.5
